LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_213A,7.495,5.345,8.488,8.656,6.002999999999999,10.13,3.955,3.852,10.051,3.995,4.534,4.025,8.369,4.954,8.818,5.078,10.597000000000001,3.528,4.303,9.28,4.109,5.143,3.9189999999999996,4.552,6.577000000000001,5.118
LCS_033A,6.897,6.582000000000001,4.592,9.131,4.893,6.535,4.024,3.33,10.665999999999999,3.298,6.3839999999999995,3.5239999999999996,9.288,3.4939999999999998,6.667000000000001,5.4670000000000005,9.415,4.467,4.8919999999999995,8.123,3.967,5.106,3.407,3.443,6.966,5.356
LCS_164A,8.048,5.751,7.416,7.919,5.416,7.886,3.7119999999999997,3.362,12.042,5.765,4.848,3.557,6.922999999999999,3.694,8.634,5.835,9.545,5.587999999999999,3.366,8.69,2.9619999999999997,3.928,3.6910000000000003,3.2760000000000002,7.1770000000000005,4.095
LCS_223A,7.705,6.482,6.871,8.513,6.477,3.745,5.145,3.489,5.435,3.534,4.611000000000001,3.408,10.379000000000001,3.858,9.119,5.6,9.677999999999999,3.361,3.3080000000000003,10.176,3.325,4.42,3.688,3.325,6.747000000000001,3.733
LCS_245A,9.631,6.3629999999999995,9.315,9.481,6.462999999999999,7.489,5.805,3.261,7.106,4.234,6.2620000000000005,3.7439999999999998,11.533,7.976,9.587,6.297000000000001,10.084,3.278,4.0889999999999995,10.931,3.327,4.105,3.8110000000000004,3.452,7.526,5.212000000000001
LCS_061A,5.813,6.399,12.091,10.022,6.876,10.079,7.531000000000001,3.6189999999999998,7.67,4.027,5.372999999999999,3.8080000000000003,10.911,4.296,7.79,7.032,9.955,3.4219999999999997,4.783,11.517000000000001,3.259,4.8580000000000005,4.093,3.8169999999999997,7.0489999999999995,5.132000000000001
LCS_191A,5.984,5.712999999999999,7.659,9.527999999999999,5.064,8.946,8.218,4.208,11.542,3.827,6.785,3.4560000000000004,9.337,3.636,8.672,7.752999999999999,9.782,5.337999999999999,3.228,10.392999999999999,3.372,4.353,3.655,3.29,8.523,3.804
LCS_171A,7.351,7.138,6.577000000000001,8.191,5.819,10.834000000000001,4.614,3.676,10.817,5.593,4.035,3.6910000000000003,8.753,3.537,9.419,5.875,9.646,3.3710000000000004,3.7310000000000003,10.853,3.327,4.5889999999999995,3.3689999999999998,3.2460000000000004,7.167000000000001,3.714
LCS_249A,9.173,6.792999999999999,9.825,8.545,4.475,8.747,7.358,5.694,6.6,6.209,4.861000000000001,3.534,10.914000000000001,3.573,9.905,6.607,9.671,3.3,3.458,10.997,3.554,4.505,3.48,3.34,7.7989999999999995,4.628
LCS_020A,10.158999999999999,6.735,10.868,8.87,7.075,9.948,7.811,3.321,5.652,4.23,4.816,3.717,11.532,4.165,9.623,8.459,10.139,3.234,7.071000000000001,10.83,3.43,4.533,3.6830000000000003,3.633,6.885,6.617999999999999
LCS_045A,5.942,6.129,11.199000000000002,8.921,4.268,7.1370000000000005,5.191,3.4539999999999997,11.567,5.8660000000000005,7.03,3.513,9.978,9.318999999999999,8.192,7.164,8.758,3.344,3.821,11.105,5.314,4.519,3.7960000000000003,3.318,7.035,6.231
LCS_094A,9.347999999999999,6.995,7.374,9.107999999999999,6.269,9.4,5.886,3.344,5.692,4.1610000000000005,5.854,3.52,11.569,5.03,8.603,6.796,9.624,4.046,4.098,10.565999999999999,3.377,4.658,3.449,3.29,8.04,4.232
LCS_131A,3.575,6.227,6.382999999999999,8.236,4.077,9.5,3.682,3.6519999999999997,12.732999999999999,6.393,6.382000000000001,3.878,8.241,3.62,9.253,4.293,9.586,3.89,4.601,8.401,4.753,5.459,3.835,3.818,7.872999999999999,3.803
LCS_241A,6.192,6.2989999999999995,5.851,9.391,7.0920000000000005,8.039,9.079,3.575,6.934,3.2560000000000002,3.926,3.819,12.359000000000002,4.207,8.745,9.645,10.804,4.1530000000000005,5.53,9.51,3.951,5.075,3.502,3.6860000000000004,8.061,4.321000000000001
LCS_057A,6.605,6.377999999999999,6.691,9.902000000000001,6.257000000000001,11.06,4.967,3.353,9.621,4.4,6.108,3.642,10.559000000000001,7.436,10.347000000000001,7.922999999999999,8.814,3.5869999999999997,3.497,11.124,3.5389999999999997,4.739,3.5639999999999996,3.305,6.57,5.186
LCS_074A,11.057,6.837000000000001,10.630999999999998,9.581,6.655,9.228,5.651,3.9010000000000002,3.4539999999999997,3.765,4.862,4.053999999999999,11.908,4.14,8.504,8.936,8.636000000000001,4.263999999999999,5.176,11.125,4.263999999999999,4.2330000000000005,3.917,3.0410000000000004,7.047000000000001,5.457000000000001
LCS_160A,9.154,6.557,7.89,8.443999999999999,5.934,9.717,4.882,3.735,9.853,4.878,6.035,3.6510000000000002,11.142999999999999,4.169,8.837,6.397,9.352,3.3789999999999996,3.984,10.515999999999998,3.306,4.666,3.536,3.5660000000000003,7.867999999999999,3.722
LCS_179A,8.482999999999999,6.765,7.393,7.561,5.093,6.292999999999999,6.374,3.505,9.836,4.149,6.564,3.867,11.411,3.805,10.411,6.361000000000001,9.837,3.611,3.4189999999999996,10.402000000000001,7.247000000000001,4.502,3.865,3.492,7.807,4.633
LCS_134A,6.4879999999999995,6.712000000000001,6.721,7.898,5.499,8.265,3.75,3.9610000000000003,11.867,4.033,7.968,3.9339999999999997,8.411,3.8819999999999997,9.31,4.83,9.75,3.491,3.407,10.26,3.227,4.3839999999999995,3.391,3.1189999999999998,7.712000000000001,4.449
LCS_009A,8.571,6.96,8.299,8.624,4.756,6.018,3.989,3.485,9.226,5.553,9.258,4.069,10.568,4.002,9.838,7.81,9.383,3.3089999999999997,3.735,9.142999999999999,4.875,4.33,3.7039999999999997,3.722,8.533,3.8169999999999997
LCS_224A,5.416,5.7589999999999995,7.02,8.849,4.5280000000000005,4.793,4.886,6.662000000000001,8.952,4.105,4.499,3.6710000000000003,5.306,3.823,8.491,6.023,9.69,3.312,3.715,10.530999999999999,3.2,4.198,3.549,3.463,7.877000000000001,4.289
LCS_078A,7.822,6.944,11.74,8.558,7.994,8.237,5.609,3.429,6.899,3.752,4.418,3.628,11.352,3.513,7.684,6.165,10.265,3.3289999999999997,4.224,10.25,3.286,4.33,3.615,3.26,6.614,4.904
